"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Girón Pérez D.A.; Fonseca-Agüero A.; Toledo-Ibarra G.A.; Gomez-Valdivia J.D.J.; Díaz-Resendiz K.J.G.; Benitez-Trinidad A.B.; Razura-Carmona F.F.; Navidad-Murrieta M.S.; Covantes-Rosales C.E.; Giron-Pérez M.I.","Girón Pérez, Daniel Alberto (57217309379); Fonseca-Agüero, Aimee (57976917700); Toledo-Ibarra, Gladys Alejandra (55633573000); Gomez-Valdivia, Jaqueline de Jesus (57976917800); Díaz-Resendiz, Karina Janice Guadaluope (40261296300); Benitez-Trinidad, Alma Benitez (56406473400); Razura-Carmona, Francisco Fabian (57212270022); Navidad-Murrieta, Migdalia Sarahy (57210291783); Covantes-Rosales, Carlos Eduardo (57204085884); Giron-Pérez, Manuel Ivan (15020793400)","57217309379; 57976917700; 55633573000; 57976917800; 40261296300; 56406473400; 57212270022; 57210291783; 57204085884; 15020793400","Post-COVID-19 Syndrome in Outpatients and Its Association with Viral Load","2022","International Journal of Environmental Research and Public Health","19","22","15145","","","16","10.3390/ijerph192215145","https://www.scopus.com/pages/publications/85142418052?origin=resultslist","Introduction: The COVID-19 pandemic is the result of the SARS-CoV-2 virus, which has caused more than 100 million infections and more than 2.5 million deaths worldwide, representing a serious public health problem. The gold method for detecting this virus is qRT-PCR, which is a semiquantitative technique where the viral load can be established through its cycle threshold (Ct). It has also been reported that COVID-19 generates long-term symptoms (post-COVID-19). Methods: After three months, a survey was performed on 70 COVID-19 confirmed patients; subsequently, we divided them into four groups (persistent symptoms, chemo-sensitive, cognitive issues, and changes in habit) in order to determine the correlation between viral load and post-COVID-19 symptoms. Results: Data show that fatigue, nervousness, anosmia, and diet changes are common long-term symptoms; in addition, a negative correlation was found between viral load and the number of post-COVID-19 symptoms. Conclusion: COVID-19 generates long-term symptoms which can cause problems with psychological and social repercussions. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142418052"
"Velay A.; Gallais F.; Benotmane I.; Wendling M.J.; Danion F.; Collange O.; De Sèze J.; Schmidt-Mutter C.; Schneider F.; Bilbault P.; Meziani F.; Fafi-Kremer S.","Velay, Aurelie (36471298400); Gallais, Floriane (57195266536); Benotmane, Ilies (55207340600); Wendling, Marie Josée (6603913740); Danion, François (55309170000); Collange, Olivier (25623116100); De Sèze, Jérôme (35546681800); Schmidt-Mutter, Catherine (55760534000); Schneider, Francis (57201510091); Bilbault, Pascal (6602397598); Meziani, Ferhat (6507028168); Fafi-Kremer, Samira (57195326940)","36471298400; 57195266536; 55207340600; 6603913740; 55309170000; 25623116100; 35546681800; 55760534000; 57201510091; 6602397598; 6507028168; 57195326940","Evaluation of the performance of SARS-CoV-2 serological tools and their positioning in COVID-19 diagnostic strategies","2020","Diagnostic Microbiology and Infectious Disease","98","4","115181","","","24","10.1016/j.diagmicrobio.2020.115181","https://www.scopus.com/pages/publications/85091366899?origin=resultslist","Rapid and accurate diagnosis is crucial for successful outbreak containment. During the current coronavirus disease 2019 (COVID-19) public health emergency, the gold standard for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection diagnosis is the detection of viral RNA. Additional diagnostic methods õenabling the detection of current or past SARS-CoV-2 infection would be highly beneficial. We assessed 2 immunochromatographic lateral flow assays (LFA-1, LFA-2) and 2 enzyme-linked immunosorbent assay kits (IgA/IgG ELISA-1, IgM/IgG ELISA-2) using 325 samples: serum samples from polymerase chain reaction–confirmed COVID-19 hospitalized patients (n = 55) and healthcare workers (n = 143) and 127 samples from negative controls. Diagnostic performances were assessed according to days after symptom onset (dso) and the antigenic format used by manufacturers. Clinical sensitivities varied greatly among the assays, showing poor mutual agreement. After 15 dso, ELISA-1 (Euroimmun) and LFA-1 (Biosynex) combining IgM and IgG detection showed the best performances. A thorough selection of serological assays for the detection of ongoing or past infections is advisable. © 2020 Elsevier Inc.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85091366899"
"Zhou Y.; Wu P.; Wang S.; Fang J.; Xu Y.; Sun Y.","Zhou, Yi (57665743500); Wu, Peipei (57986110600); Wang, Shihong (57904400900); Fang, Jiao (57204118625); Xu, Yuxiang (57216832220); Sun, Ying (55737745400)","57665743500; 57986110600; 57904400900; 57204118625; 57216832220; 55737745400","Buffering effect of positive childhood experiences on mental health risks among adolescents; [积极成长经历对青少年心理健康风险的缓冲效应]","2022","Chinese Journal of School Health","43","5","","676","684","1","10.16835/j.cnki.1000-9817.2022.05.009","https://www.scopus.com/pages/publications/85142882767?origin=resultslist","Objective To explore the buffering effect of positive childhood experiences ( PCEs) on mental health risks among adolescents before and after COVID-19 epidemic.Methods In October 2019 (before the outbreak of COVID-19), 1 322 students from grades 4 to 9 were recruited from primary and secondary schools in two counties of Chizhou city, Anhui Province. A questionnaire survey was conducted to collect general demographic information, PCEs, depressive symptoms, anxiety symptoms, self-harm behavior, suicidal ideation. Follow-up survey was conducted after school re-opening ( May 2020) . Mental health status before and after the COVID-19 epidemic was compared among students with different PCEs by multiple logistic regression analyses.Results The detection rates of depressive symptoms, anxiety symptoms, self-harm behavior and suicidal ideation (22.6%, 16.0%, 40.0%, 29.9%) of the respondents after school re-opening were significantly higher compared that before the epidemic ( 16.5%, 13.5%, 31.1%, 22.6%) . There were no significant differences in the detection rates of depressive symptoms, anxiety symptoms, self-harm behavior and suicidal ideation between high PCEs group before and after the epidemic (Z= -0.05, 0.27, 0.84, 1.84, P>0.05) . Multivariate Logistic regression analysis showed that the risk of depressive symptoms and self-harm behavior in the low PCEs group after school re-opening was 1.39 times higher than that before the epidemic (95% CI= 1.05-1.84, P<0.05) . The risk of non-suicidal self-injury behavior in the low PCEs group after school re-opening was 1.31 times higher than that before the epidemic (95%CI = 1.05-1.62, P<0.05) . There were no significant differences in mental health detection rates in high PCEs group before and after the epidemic ( P>0.05) .Conclusion During the time of COVID-19 epidemic, PCEs is associated with lower rates of depressive symptoms, anxiety symptoms, self-harm behavior and suicide ideation in adolescents. The findings suggest that more support and help should be given to adolescents from the perspectives of family, school and peers, so as to reduce the adverse effects of public health emergencies on adolescents' mental health. © 2022 Chinese Academy of Sciences. All rights reserved.","Article","Final","","Scopus","2-s2.0-85142882767"
"Muhi S.; Tayler N.; Hoang T.; Prestedge J.; Lee J.Y.H.; Ballard S.A.; Isles N.; Wlodek A.; Greenhalgh A.; Williamson D.A.; Howden B.P.; Stinear T.P.","Muhi, Stephen (57196177389); Tayler, Nick (56536862500); Hoang, Tuyet (57218394845); Prestedge, Jacqueline (57409763600); Lee, Jean Y. H. (56023469500); Ballard, Susan A. (7006861484); Isles, Nicole (57205465484); Wlodek, Andrew (59556816400); Greenhalgh, Arran (57219248063); Williamson, Deborah A. (35265417600); Howden, Benjamin P. (7003861195); Stinear, Timothy P. (6602594923)","57196177389; 56536862500; 57218394845; 57409763600; 56023469500; 7006861484; 57205465484; 59556816400; 57219248063; 35265417600; 7003861195; 6602594923","Feasibility of a refurbished shipping container as a transportable laboratory for rapid SARS-CoV-2 diagnostics","2022","Access Microbiology","4","4","000346","","","2","10.1099/acmi.0.000346","https://www.scopus.com/pages/publications/85159736143?origin=resultslist","Background. Australia’s response to the coronavirus disease 2019 (COVID-19) pandemic relies on widespread availability of rapid, accurate testing and reporting of results to facilitate contact tracing. The extensive geographical area of Australia presents a logistical challenge, with many of the population located distant from a laboratory capable of robust severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) detection. A strategy to address this is the deployment of a mobile facility utilizing novel diagnostic platforms. This study aimed to evaluate the feasibility of a fully contained transportable SARS-CoV-2 testing laboratory using a range of rapid point-of-care tests. Method. A 20 ft (6.1 m) shipping container was refurbished (GeneWorks, Adelaide, South Australia) with climate controls, laboratory benches, hand-wash station and a class II biosafety cabinet. Portable marquees situated adjacent to the container served as stations for registration, sample acquisition and personal protective equipment for staff. Specimens were collected and tested on-site utilizing either the Abbott ID NOW or Abbott Panbio rapid tests. SARS-CoV-2 positive results from the rapid platforms or any participants reporting symptoms consistent with COVID-19 were tested on-site by GeneXpert Xpress RT-PCR. All samples were tested in parallel with a standard-of-care RT-PCR test (Panther Fusion SARS-CoV-2 assay) performed at the public health reference laboratory. In-laboratory environmental conditions and data management-related factors were also recorded. Results. Over a 3 week period, 415 participants were recruited for point-of-care SARS-CoV-2 testing. From time of enrolment, the median result turnaround time was 26 min for the Abbott ID NOW, 32 min for the Abbott Panbio and 75 min for the Xpert Xpress. The environmental conditions of the refurbished shipping container were found to be suitable for all platforms tested, although humidity may have produced condensation within the container. Available software enabled turnaround times to be recorded, although technical malfunction resulted in incomplete data capture. Conclusion. Transportable container laboratories can enable rapid COVID-19 results at the point of care and may be useful during outbreak settings, particularly in environments that are physically distant from centralized laboratories. They may also be appropriate in resource-limited settings. The results of this pilot study confirm feasibility, although larger trials to validate individual rapid point-of-care testing platforms in this environment are required. © 2022 The Authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85159736143"
"Soilán A.; Soilán B.; Russomando G.; Riera G.; Fernández A.; Navarro E.; Sosa L.; Britez L.; Zorrilla A.; Sosa G.; Mora G.; Dávalos D.; Jover M.A.; Lagrave L.; Paiva F.; Richard P.C.; Corbalán L.","Soilán, Ana (57209888917); Soilán, Beatriz (57724007800); Russomando, Graciela (21935166300); Riera, Graciela (57209232095); Fernández, Andrea (58726534800); Navarro, Eliza (57724089000); Sosa, Lida (57214235474); Britez, Lujan (57724497600); Zorrilla, Andrea (57724413200); Sosa, Gilberto (57724497700); Mora, Griselda (57724089200); Dávalos, Daniel (57724413300); Jover, Marcelo Alborno (57724497800); Lagrave, Lorena (57194869776); Paiva, Fanny (57724255300); Richard, Pamela C. (57724413400); Corbalán, Leticia (57724255400)","57209888917; 57724007800; 21935166300; 57209232095; 58726534800; 57724089000; 57214235474; 57724497600; 57724413200; 57724497700; 57724089200; 57724413300; 57724497800; 57194869776; 57724255300; 57724413400; 57724255400","Endocervical swabbing in women with COVID-19 symptoms from departments of Paraguay; [Hisopado endocervical en mujeres con síntomas de COVID-19 provenientes de departamentos del Paraguay]","2021","Revista Chilena de Infectologia","38","5","","634","638","0","10.4067/s0716-10182021000500634","https://www.scopus.com/pages/publications/85131226888?origin=resultslist","Background: COVID-19 is an eminently respiratory transmissi-ble infection of respiratory initiation, the existence of other sources of contagion is discussed. The ACE2 viral receptor has also been detected in the uterus and vagina; Hence, the involvement of the SARS-CoV-2 virus on the genitourinary system and its possible repercussions on pregnancy has been raised. Aim: To determine the presence of SARS-CoV-2 in endocervical samples of women with COVID-19 in the departments of Paraguay. Methods: Designed as a prospective observational of transverse cohort. Two hundred women were recruited from August 2020 to February 2021, with no more than 48/72 hours of a previous positive nasopharyngeal swab result for SARS-CoV-2 by reverse transcriptase-polymerase chain reaction (rt-RT-PCR) and who agreed to participate in the study. A clinical epidemiological questionnaire was completed. The samples were taken in health services of the MSPYBS (Public Ministry of Health and Social Welfare), homes and shelters in the different departments of Paraguay. Each patient underwent a swab (dacron swabs) or endo-cervical cytobrush for the detection of SARS-CoV-2 by rt-RT-PCR. Results: Women recruited had a mean age of 46.5 years (95% CI 31,562.5). They reported contagion with SARS-CoV-2: 75.5% in the community, 13.5% at home, 8.5% in the place of work and 1.5% abroad. The clinical manifestations were: 30% flu syndrome, 22.5% fever, 20% cough, 15.5% anosmia, 15.5% digestive disorders, among other symptoms. The swabs or endocervical cytobrush samples subjec-ted to rt-RT-PCR for the detection of SARS-CoV-2 were negative in the 200 study women. Discussion: It should be noted that the vaginal samples were taken within 24-72 hours after obtaining a positive result for SARS-CoV-2 in the nasopharyngeal swab and that 62.5% of the women were hospitalized in respiratory modules. The reason for the negativity of the exams and their significance are discussed. Conclusion: No SARS Cov-2 infection was detected in the endocer-vical region of 200 women with clinical manifestations of COVID 19 and evaluated within 48/72 hours of a positive nasopharyngeal result for SARS Cov-2. The results in the study population agree with the findings of other studies reported in the literature. © 2021, Sociedad Chilena de Infectologia. All rights reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85131226888"
"Puttegowda K.; Sunil Kumar D.S.; Mallu S.; Vijay C.P.; Ravi V.; Sushmitha B.C.","Puttegowda, Kiran (56035983800); Sunil Kumar, D.S. (59417746900); Mallu, Sahana (59134673400); Vijay, C.P. (57221335895); Ravi, Vinayakumar (56755324000); Sushmitha, B.C. (59134413300)","56035983800; 59417746900; 59134673400; 57221335895; 56755324000; 59134413300","Automatic COVID-19 Prediction with Comprehensible Machine Learning Models","2024","Open Public Health Journal","17","","e18749445286599","","","10","10.2174/0118749445286599240311102956","https://www.scopus.com/pages/publications/85193602099?origin=resultslist","Background: The development of technology has a significant impact on every aspect of life, whether it is the medical industry or any other profession. The potential of artificial intelligence has been demonstrated in data processing and analysis is used to inform decisions in the field of health care. The most crucial action is the early detection of a life-threatening illness to stop its development and spread. Highly contagious COVID-19 is a disease that requires immediate attention as it has spread globally. There is a need for a technology that can be utilised to detect the virus because of how quickly it spreads. With the increased use of technology, we now have access to a wealth of COVID-19-related information that may be used to learn crucial details about the virus. Objective: The objective of the work is to develop comprehensible machine learning models for the automatic prediction of COVID-19. These models aim to accurately predict the likelihood of COVID-19 infection based on relevant input features, such as symptoms, demographics, and potential diagnostic tests or imaging results. Methods: In this work, we mainly aimed to assess how well different machine learning methods might predict COVID-19 situations. In order to do this, we thoroughly evaluated a variety of widely used classifiers in machine learning. Popular algorithms like the random forest, k-nearest neighbour, and logistic regression were all included in our analysis. Results: To assess the performance of our suggested algorithms using different machine learning techniques, we used an open-source dataset in the study. Our algorithms performed better than other models that are currently in use, which is noteworthy. The high degree of precision in predicting COVID-19 instances is demonstrated by our remarkable accuracy of 96.34%. We also obtained a good F1 score of 0.98 for our models, indicating the strength and efficiency of our method in obtaining metrics for both recall and precision. Conclusion: This work highlights the possibility of understanding machine learning algorithms for COVID-19 prediction automatically. We have shown that techniques such as logistic regression, random forest, and k-nearest neighbor methods may reliably predict COVID-19 situations while preserving interpretability. In order to promote acceptance and confidence among healthcare professionals and enable well-informed decision-making in clinical settings, these models' transparency is essential. To improve these models' efficacy and scalability in the future, more research will be needed to enhance and validate them on a variety of datasets. In the end, utilizing understandable machine learning algorithms presents encouraging opportunities for COVID-19 early diagnosis and control, supporting international public health campaigns. © 2024 The Author(s).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85193602099"
"Dariotis J.K.; Sloane S.M.; Smith R.L.","Dariotis, Jacinda K. (24482861300); Sloane, Stephanie M. (57199857807); Smith, Rebecca Lee (55948076600)","24482861300; 57199857807; 55948076600","“I took it off most of the time 'cause I felt comfortable”: unmasking, trusted others, and lessons learned from a coronavirus disease 2019 reinfection: a case report","2021","Journal of Medical Case Reports","15","1","557","","","2","10.1186/s13256-021-03033-8","https://www.scopus.com/pages/publications/85118940202?origin=resultslist","Background: Severe acute respiratory syndrome coronavirus 2 reinfection prevalence is unknown. It is essential to understand reinfection symptoms and, importantly, the lived experience. Case presentation: Case study design is the best method for understanding this contemporary pandemic and rare occurrence of reinfections. A 19-year-old White Non-Hispanic woman presented with presumed severe acute respiratory syndrome coronavirus 2 reinfection 6 weeks after initially mild symptomatic infection and consistent repeat negative results. Real-time reverse-transcription polymerase chain reaction from saliva was used for detection. Twice-weekly saliva samples were collected (a) before initial infection, (b) resumed on day 10 after initial infection until reinfection was detected, and (c) resumed on day 10 post-reinfection. A 1.5-hour virtual interview was conducted, transcribed, and independently analyzed by two researchers. Four themes emerged: (1) perceived invincibility or inevitability and subsequent immunity increases risk of transmission via inconsistent preventive behaviors; (2) normalcy desires, trusted others, and implicit social pressures to not wear masks and distance increase one’s coronavirus disease 2019 risk; (3) physical symptoms are more severe with reinfection compared with first infection; and (4) mental health sequelae (trauma and stigma) are more severe and enduring than physical health outcomes. Conclusions: Unmasked social interactions contradicting public health recommendations were rationalized by social circle members with heavy reliance on feeling asymptomatic, lacking a positive test (testing negative or not testing), or attributing symptoms to allergies. Stigma of testing positive and consequences of not conforming to social group behaviors is overwhelming and creates pressure to take risks. This case study provides insights and lessons learned relevant for public health messaging and continued preventive behaviors. © 2021, The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85118940202"
"Sonkar C.; Kashyap D.; Varshney N.; Baral B.; Jha H.C.","Sonkar, Charu (57203501195); Kashyap, Dharmendra (57215590115); Varshney, Nidhi (57220872130); Baral, Budhadev (57215575418); Jha, Hem Chandra (35487831000)","57203501195; 57215590115; 57220872130; 57215575418; 35487831000","Impact of Gastrointestinal Symptoms in COVID-19: a Molecular Approach","2020","SN Comprehensive Clinical Medicine","2","12","","2658","2669","28","10.1007/s42399-020-00619-z","https://www.scopus.com/pages/publications/105015987386?origin=resultslist","The pandemic of novel coronavirus disease (COVID-19) caused by the Severe Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) creates an immense menace to public health worldwide. Currently, the World Health Organization (WHO) has recognized the novel coronavirus as the main cause of global pandemic. Patients infected with this virus generally show fever, nausea, and respiratory illness, while some patients also manifest gastrointestinal symptoms such as abdominal pain, vomiting, and diarrhea. Traces of SARS-CoV-2 RNA have been found in gastrointestinal cells. Further angiotensin converting enzyme 2 (ACE2) the known receptor for the virus is extensively expressed in these cells. This implies that gastrointestinal tract can be infected and can also present them as a replication site for SARS-CoV-2, but since this infection may lead to multiple organ failure, therefore identification of another receptor is a plausible choice. This review aims to provide comprehensive information about probable receptors such as sialic acid and CD147 which may facilitate the virus entry. Several potential targets are mentioned which can be used as a therapeutic approach for COVID-19 and associated GI disorders. The gut microbiomes are responsible for high levels of interferon-gamma which causes hyper-inflammation and exacerbates the severity of the disease. Briefly, this article highlights the gut microbiome’s relation and provides potential diagnostic approaches like RDT and LC-MS for sensitive and specific identification of viral proteins. Altogether, this article reviews epidemiology, probable receptors and put forward the tentative ideas of the therapeutic targets and diagnostic methods for COVID-19 with gastrointestinal aspect of disease. © 2020, Springer Nature Switzerland AG.","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-105015987386"
"Marcos-Escobar G.; Gómez M.E.; Unanue W.","Marcos-Escobar, Gustavo (60141668700); Gómez, Marcos E. (57196193187); Unanue, Wenceslao (56124144600)","60141668700; 57196193187; 56124144600","Understanding the transition from stress to depression: a longitudinal mediational analysis of anxiety in adults from the Metropolitan Region of Chile","2025","Frontiers in Psychology","16","","1668518","","","2","10.3389/fpsyg.2025.1668518","https://www.scopus.com/pages/publications/105018810624?origin=resultslist","Drawing on recent advances in Beck’s cognitive model—which traditionally conceptualizes anxiety and depression as correlated but does not explicitly address their temporal ordering—this study tests whether anxiety operates as a sequential mediator linking sustained stress to depressive symptoms in a non-clinical adult population. Prior longitudinal and mediation studies have examined associations among stress, anxiety, and depression, but differences in design, population, and analytical focus limit their applicability to non-clinical adult contexts. We extend this literature with data obtained from 805 adults in the Metropolitan Region of Santiago, Chile, followed across three waves at two-month intervals during the COVID-19 pandemic, although no pre-pandemic baseline was available. Accordingly, findings should be interpreted as evidence of the stress–anxiety– depression sequence within pandemic conditions. A cross-lagged panel model (CLPM) was used to estimate the temporal relations among stress, anxiety, and depression. This statistical method accounts for the stability of each construct across repeated measurements while estimating directional relationships over time. Results confirmed a significant partial mediation: perceived stress at T1 predicted higher anxiety at T2, which in turn predicted increased depressive symptoms at T3 (standardized indirect effect β = 0.049, 95% CI [0.016, 0.091], p = 0.009). To the best of our knowledge, this is the first longitudinal study conducted with a non-clinical adult sample from the Metropolitan Region of Chile that validates this mediation sequence. The findings advance Beck’s model by demonstrating anxiety’s role as a sequential mediator, contribute methodologically through the use of a three-wave CLPM to test temporal precedence, and support preventive interventions targeting early detection of subclinical anxiety to disrupt trajectories toward depression. Together, the results update the cognitive model and inform both clinical practice and public health strategies in emotionally demanding contexts. Copyright © 2025 Marcos-Escobar, Gómez and Unanue.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105018810624"
"Korishetty V.; Rao P.; Shenoy S.; Jeppu U.; Keerthiraj B.","Korishetty, Vinayaka (59351915700); Rao, Pooja (57191524417); Shenoy, Suchitra (57212628470); Jeppu, Udayalaxmi (58520258500); Keerthiraj, B. (36337567000)","59351915700; 57191524417; 57212628470; 58520258500; 36337567000","Analysis of Dengue and SARS-CoV-2 Coinfection in a Tertiary Care Hospital: A Retrospective Study","2024","Journal of Tropical Medicine","2024","","6788850","","","2","10.1155/2024/6788850","https://www.scopus.com/pages/publications/85205498532?origin=resultslist","Introduction. Coinfection of dengue virus and SARS-CoV-2 infections in dengue-endemic areas is a significant public health concern. Coinfections can result in severe illness. Hence, this study determines the incidence of dengue and COVID-19 coinfection for a better understanding of the clinical presentation, laboratory parameters, and outcomes including mortality. Methods. The patients admitted to two tertiary hospitals with RT PCR-proven COVID-19 infection and dengue positive by NS1 rapid antigen or IgM dengue ELISA for two years between January 2020 and December 2022 were considered. Clinical data were retrieved from medical records including the laboratory findings and outcomes of these patients. The categorical data were analyzed in the form of frequency and proportion. The quantitative data were analyzed in the form of mean, median, and proportion. Results. Out of 2301 confirmed dengue samples and 3718 confirmed COVID-19 samples, there were 14 cases of coinfection with the presence of COVID-19 and dengue infection at the same time. ICU admission of 14.2% and mean hospital stay of 7 days were noted. Mainly the symptoms reported were fever at 92.9%, myalgia at 35.7%, and headache, vomiting, and cough at 28.6%. The laboratory findings were elevated lactate dehydrogenase and C-reactive protein in 100% of patients, elevated ferritin in 92.9%, thrombocytopenia in 71.4%, elevated AST and ALT in 71.4%, and elevated D-dimer in 57.1% of patients. There was no effect on morbidity and mortality seen among coinfection. Conclusion. COVID-19 and dengue share similar clinical features and laboratory findings. Diagnosis of one disease cannot rule out the presence of other infections. There might be chances of misdiagnosis or missed diagnosis. Hence, it is important to stress about early detection using specific methods and confirmation of disease with timely management, as it is a potentially new dimension for public health concern and management. © 2024 Vinayaka Korishetty et al.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85205498532"
